amdno,type,elems,lat,lon,alt,地名,knName,enName,気温
19416,C,11112100,42.97,144.06166666666667,9,白糠,シラヌカ,Shiranuka,27.4
19432,A,11111111,42.985,144.3766666666667,5,釧路,クシロ,Kushiro,25.0
19451,C,11112010,42.93833333333333,144.735,149,知方学,チッポマナイ,Chippomanai,26.4
20146,C,11112110,43.47166666666666,143.75333333333333,210,陸別,リクベツ,Rikubetsu,28.9
20186,C,11112110,43.36666666666667,143.19166666666666,540,ぬかびら源泉郷,ヌカビラゲンセンキョウ,Nukabiragensenkyo,25.3
20266,C,11112110,43.24166666666667,143.295,287,上士幌,カミシホロ,Kamishihoro,28.6
20276,C,11112000,43.24333333333333,143.55333333333334,90,足寄,アショロ,Ashoro,31.1
20341,C,11112110,43.13166666666667,143.6,67,本別,ホンベツ,Honbetsu,31.9
20356,C,11112100,43.07666666666667,142.84,178,新得,シントク,Shintoku,30.7
20361,C,11112000,43.10333333333333,142.995,206,鹿追,シカオイ,Shikaoi,31.8
20371,C,11112000,43.05,143.18333333333334,112,駒場,コマバ,Komaba,32.2
20421,C,11112100,42.9,143.04333333333332,90,芽室,メムロ,Memuro,32.0
20432,B,11111111,42.92166666666667,143.21166666666667,38,帯広,オビヒロ,Obihiro,32.7
20441,C,11112000,42.92,143.45833333333334,42,池田,イケダ,Ikeda,32.5
20506,C,11112100,42.80833333333333,143.65666666666667,20,浦幌,ウラホロ,Urahoro,31.2
20551,C,11110100,42.73333333333333,143.21666666666667,149,帯広泉,オビヒロイズミ：帯広空港,Obihiroizumi,30.3
20556,C,11112000,42.78666666666667,143.32833333333335,70,糠内,ヌカナイ,Nukanai,31.2
20601,C,11112100,42.641666666666666,143.09666666666666,251,上札内,カミサツナイ,Kami-satsunai,27.9
20606,C,11112000,42.65166666666666,143.195,185,更別,サラベツ,Sarabetsu,29.5
20631,C,11112000,42.68666666666667,143.64666666666668,4,大津,オオツ,Otsu,29.0
20696,C,11112100,42.5,143.27333333333334,87,大樹,タイキ,Taiki,28.6
20751,B,11111111,42.29333333333334,143.31666666666666,32,広尾,ヒロオ,Hiroo,24.4
21111,C,11112000,42.73,141.88833333333332,20,厚真,アツマ,Atsuma,29.0
21126,C,11112100,42.76166666666667,142.14333333333337,56,穂別,ホベツ,Hobetsu,29.3
21161,C,11112100,42.67,141.07833333333335,390,大滝,オオタキ,Otaki,24.0
21171,C,11112000,42.63,141.24666666666667,170,森野,モリノ,Morino,25.7
21187,B,11111111,42.623333333333335,141.54666666666665,6,苫小牧,トマコマイ,Tomakomai,24.6
21226,C,11112110,42.59,140.64333333333337,4,大岸,オオキシ,Okishi,27.0
21261,C,11112100,42.54333333333334,141.35166666666666,6,白老,シラオイ,Shiraoi,24.3
21276,C,11112000,42.59,141.93333333333334,10,鵡川,ムカワ,Mukawa,26.9
21297,C,11112000,42.475,140.84833333333333,3,伊達,ダテ,Date,27.8
21312,C,11112100,42.458333333333336,141.11833333333334,197,登別,ノボリベツ,Noboribetsu,26.2
21323,A,11111111,42.31166666666667,140.975,40,室蘭,ムロラン,Muroran,26.6
22036,C,11112100,42.876666666666665,142.44166666666666,280,日高,ヒダカ,Hidaka,29.1
22141,C,11112010,42.49666666666667,142.05333333333334,47,日高門別,ヒダカモンベツ,Hidaka-Monbetsu,27.7
22156,C,11112000,42.54333333333334,142.33333333333334,60,新和,シンワ,Shinwa,30.8
22241,C,11112110,42.34333333333333,142.36166666666668,10,静内,シズナイ,Shizunai,26.9
22291,C,11112000,42.245,142.66166666666666,10,三石,ミツイシ,Mitsuishi,29.1
22306,C,11112100,42.223333333333336,142.94833333333332,98,中杵臼,ナカキネウス,Nakakineusu,30.9
22327,B,11111111,42.16166666666667,142.77666666666667,37,浦河,ウラカワ,Urakawa,25.0
22391,C,11112010,41.925,143.24333333333334,63,えりも岬,エリモミサキ,Cape Erimo,19.2
23031,C,11112100,42.52333333333333,140.38166666666666,10,長万部,オシャマンベ,Oshamanbe,26.1
23086,C,11112100,42.251666666666665,140.27166666666668,8,八雲,ヤクモ,Yakumo,29.0
23166,C,11112100,42.06666666666667,140.58833333333334,125,森,モリ,Mori,27.6
23206,C,11112010,41.905,140.97,25,川汲,カックミ,Kakkumi,28.9
23226,C,11112000,41.88666666666667,140.65333333333334,25,北斗,ホクト,Hokuto,29.3
23232,A,11111111,41.81666666666667,140.75333333333333,35,函館,ハコダテ,Hakodate,28.7
23281,C,11110100,41.77,140.82166666666666,34,高松,タカマツ：函館空港,Takamatsu,26.7
23326,C,11112010,41.68,140.43666666666667,10,木古内,キコナイ,Kikonai,30.0
23376,C,11112010,41.42333333333333,140.08666666666667,30,松前,マツマエ,Matsumae,27.4
24041,C,11112000,42.45,139.85166666666666,10,せたな,セタナ,Setana,28.5
24051,C,11112100,42.428333333333335,140.00833333333333,19,今金,イマカネ,Imakane,29.0
24101,C,11112010,42.248333333333335,139.55666666666667,5,奥尻,オクシリ,Okushiri,27.5
24141,C,11112100,42.12833333333333,139.985,12,熊石,クマイシ,Kumaishi,25.8
24156,C,11110000,42.071666666666665,139.43166666666667,49,米岡,ヨネオカ：奥尻空港,Yoneoka,26.8
24201,C,11112100,41.93,140.31166666666667,53,鶉,ウズラ,Uzura,26.8
24217,B,11111111,41.86666666666667,140.1233333333333,4,江差,エサシ,Esashi,27.3
31001,C,11112100,41.52666666666666,140.91166666666666,14,大間,オオマ,Oma,27.1
31111,B,11111111,41.28333333333333,141.21,3,むつ,ムツ,Mutsu,32.1
31121,C,11112000,41.235,141.39666666666668,6,小田野沢,オダノサワ,Odanosawa,31.5
31136,C,11112100,41.18,140.48166666666663,30,今別,イマベツ,Imabetsu,29.8
31156,C,11112100,41.145,140.82166666666666,15,脇野沢,ワキノサワ,Wakinosawa,30.8
31186,C,11112010,41.056666666666665,140.34666666666666,20,市浦,シウラ,Shiura,29.4
31201,C,11112000,41.045,140.63333333333333,5,蟹田,カニタ,Kanita,31.5
31296,C,11112110,40.80833333333333,140.45833333333334,9,五所川原,ゴショガワラ,Goshogawara,32.4
31312,A,11111111,40.821666666666665,140.76833333333337,3,青森,アオモリ,Aomori,34.9
31332,C,11112100,40.885,141.16,14,野辺地,ノヘジ,Noheji,29.7
31336,C,11112000,40.885,141.27166666666668,80,六ケ所,ロッカショ,Rokkasho,31.2
31366,C,11112110,40.77666666666666,140.205,40,鰺ケ沢,アジガサワ,Ajigasawa,32.1
31386,C,11110100,40.73333333333333,140.68833333333333,198,青森大谷,アオモリオオタニ：青森空港,Aomori-Otani,32.1
