観測所番号,都道府県,地点,国際地点番号,現在時刻(年),現在時刻(月),現在時刻(日),現在時刻(時),現在時刻(分),気温,今日の最高気温の品質情報,今日の最高気温起時（時）,今日の最高気温起時（分）,今日の最高気温起時の品質情報,平年差（℃）,前日差（℃）,該当旬（月）,該当旬（旬）,極値更新,10年未満での極値更新,今年最高,今年の最高気温（℃)（昨日まで）,今年の最高気温（昨日まで）の品質情報,今年の最高気温（昨日まで）を観測した起日（年）,今年の最高気温（昨日まで）を観測した起日（月）,今年の最高気温（昨日まで）を観測した起日（日）,昨日までの観測史上1位の値（℃）,昨日までの観測史上1位の値の品質情報,昨日までの観測史上1位の値を観測した起日（年）,昨日までの観測史上1位の値を観測した起日（月）,昨日までの観測史上1位の値を観測した起日（日）,昨日までの7月の1位の値,昨日までの7月の1位の値の品質情報,昨日までの7月の1位の値の起日（年）,昨日までの7月の1位の値の起日（月）,昨日までの7月の1位の値の起日（日）,統計開始年,lat,lon,観測所,時間
35332,山形県,村山（ムラヤマ）,,2023,07,28,15,00,34.2,4,13,59,4,+4.4,+1.0,88,0,,,1,34.1,4,2023,07,25,36.9,8,2015,07,22,36.9,8,2015,07,22,2002,38.46,140.34833333333333,村山,13時59分
35361,山形県,大井沢（オオイサワ）,,2023,07,28,15,00,33.2,4,14,57,4,+5.0,+1.5,88,0,,,1,32.9,4,2023,07,25,35.0,8,1994,08,13,34.9,8,2018,07,31,1978,38.39,139.99333333333334,大井沢,14時57分
35426,山形県,山形（ヤマガタ）,47588,2023,07,28,15,00,35.6,4,13,44,4,+4.6,+1.0,88,0,,,1,35.3,4,2023,07,25,40.8,8,1933,07,25,40.8,8,1933,07,25,1889,38.255,140.345,山形,13時44分
35456,山形県,長井（ナガイ）,,2023,07,28,15,00,34.2,4,13,51,4,+4.6,+1.4,88,0,,,1,33.9,4,2023,07,25,36.9,8,1978,08,02,35.3,8,2014,07,26,1976,38.105,140.015,長井,13時51分
35486,山形県,小国（オグニ）,,2023,07,28,15,00,33.5,4,14,43,4,+3.7,+0.8,88,0,,,1,33.5,4,2023,07,25,38.0,8,1994,08,16,36.2,8,1999,07,27,1976,38.07833333333333,139.735,小国,14時43分
35511,山形県,高畠（タカハタ）,,2023,07,28,15,00,35.3,4,14,51,4,+4.9,+0.6,88,0,,,1,35.0,4,2023,07,26,38.1,8,2018,08,22,36.9,8,2018,07,31,1976,38.00333333333333,140.20666666666668,高畠,14時51分
35541,山形県,高峰（タカミネ）,,2023,07,28,15,00,33.7,4,13,43,4,+4.5,+1.2,88,0,,,1,33.5,4,2023,07,25,37.9,8,2018,08,23,35.7,8,2018,07,31,1976,37.99,139.95333333333335,高峰,13時43分
35552,山形県,米沢（ヨネザワ）,,2023,07,28,15,00,35.5,4,14,50,4,+5.2,+1.5,88,0,,,1,35.3,4,2023,07,26,37.7,8,2018,08,23,36.5,8,1999,07,27,1976,37.91166666666667,140.14333333333337,米沢,14時50分
36056,福島県,茂庭（モニワ）,,2023,07,28,15,00,35.0,4,14,55,4,+6.2,+1.9,88,0,,,1,33.7,4,2023,07,07,36.3,8,1994,08,08,36.2,8,2018,07,20,1992,37.891666666666666,140.43666666666667,茂庭,14時55分
36066,福島県,梁川（ヤナガワ）,,2023,07,28,15,00,38.9,4,13,47,4,+8.2,+1.8,88,0,,,1,37.6,4,2023,07,26,39.7,8,2015,08,05,39.1,8,2015,07,14,1976,37.85166666666667,140.58833333333334,梁川,13時47分
36106,福島県,桧原（ヒバラ）,,2023,07,28,15,00,29.9,4,15,00,4,+4.1,+1.0,88,0,,,1,29.0,4,2023,07,25,32.0,8,1985,08,15,31.5,8,2015,07,13,1978,37.72166666666666,140.05833333333334,桧原,15時00分
36127,福島県,福島（フクシマ）,47595,2023,07,28,15,00,38.4,4,15,00,4,+7.5,+2.4,88,0,,,1,36.9,4,2023,07,07,39.1,8,1942,08,15,39.0,8,2015,07,14,1889,37.75833333333333,140.47,福島,15時00分
36176,福島県,喜多方（キタカタ）,,2023,07,28,15,00,36.3,4,14,49,4,+5.5,+1.2,88,0,,,1,35.5,4,2023,07,25,38.0,8,1994,08,16,37.4,8,2011,07,11,1976,37.65833333333333,139.86333333333334,喜多方,14時49分
36196,福島県,鷲倉（ワシクラ）,,2023,07,28,15,00,27.6,4,13,42,4,+5.4,+1.0,88,0,,,1,26.9,4,2023,07,07,29.4,4,2021,08,06,29.0,8,2015,07,13,1976,37.66833333333334,140.26,鷲倉,13時42分
36221,福島県,飯舘（イイタテ）,,2023,07,28,15,00,33.8,4,11,42,4,+5.7,+1.6,88,0,,,1,33.4,4,2023,07,25,36.0,8,2014,08,05,35.2,8,1999,07,31,1976,37.665,140.72666666666666,飯舘,11時42分
36251,福島県,西会津（ニシアイヅ）,,2023,07,28,15,00,34.3,4,14,57,4,+4.3,+0.8,88,0,,,1,33.7,4,2023,07,17,36.9,8,1994,08,14,36.8,8,2018,07,31,1976,37.58833333333333,139.65666666666667,西会津,14時57分
36276,福島県,猪苗代（イナワシロ）,,2023,07,28,15,00,33.0,4,14,39,4,+5.0,+1.1,88,0,,,1,32.2,4,2023,07,07,34.2,8,1994,08,15,33.9,8,2018,07,20,1976,37.55166666666667,140.10833333333332,猪苗代,14時39分
36291,福島県,二本松（ニホンマツ）,,2023,07,28,15,00,37.5,4,14,48,4,+7.4,+1.6,88,0,,,1,36.2,4,2023,07,17,38.0,8,2020,08,11,37.7,8,2018,07,20,1976,37.583333333333336,140.43,二本松,14時48分
36342,福島県,金山（カネヤマ）,,2023,07,28,15,00,33.9,4,13,18,4,+4.3,+1.6,88,0,,,1,33.2,4,2023,07,25,35.5,8,2012,08,02,35.1,8,2015,07,13,2007,37.473333333333336,139.52833333333334,金山,13時18分
36361,福島県,若松（ワカマツ）,47570,2023,07,28,15,00,36.3,4,14,46,4,+5.2,+0.7,88,0,,,1,35.7,4,2023,07,25,38.5,8,2018,08,23,37.3,8,2018,07,31,1953,37.48833333333334,139.91,若松,14時46分
36391,福島県,船引（フネヒキ）,,2023,07,28,15,00,34.8,4,13,46,4,+6.2,+0.4,88,0,,,1,34.5,4,2023,07,25,35.7,8,2020,08,11,35.1,8,2022,07,31,1976,37.435,140.57666666666665,船引,13時46分
36426,福島県,只見（タダミ）,,2023,07,28,15,00,34.6,4,12,24,4,+4.8,+0.8,88,0,,,1,33.8,4,2023,07,27,36.5,8,2019,08,13,36.2,8,2018,07,30,1976,37.34333333333333,139.31333333333333,只見,12時24分
