type,elems,lat,lon,alt,kjName,knName,enName,amdno,pref
C,01000000,45.00666666666667,141.85166666666666,5,幌延,ホロノベ,Horonobe,13011,
C,11112100,44.89333333333333,141.76166666666666,9,天塩,テシオ,Teshio,13061,北海道
C,11112000,44.718333333333334,141.80666666666667,7,遠別,エンベツ,Enbetsu,13086,北海道
C,11112100,44.52333333333333,141.77,27,初山別,ショサンベツ,Shosanbetsu,13121,北海道
C,11112000,44.428333333333335,141.42166666666665,38,焼尻,ヤギシリ,Yagishiri,13146,北海道
B,11111111,44.36333333333334,141.7,8,羽幌,ハボロ,Haboro,13181,北海道
C,01000100,44.265,141.72166666666666,15,古丹別,コタンベツ,Kotanbetsu,13206,
C,11112000,44.04833333333333,141.85666666666665,30,達布,タップ,Tappu,13261,北海道
B,11111111,43.945,141.63166666666666,24,留萌,ルモイ,Rumoi,13277,北海道
C,11112000,43.848333333333336,141.51,20,増毛,マシケ,Mashike,13311,北海道
C,11112100,43.85333333333333,141.76,20,幌糠,ホロヌカ,Horonuka,13321,北海道
C,11112000,43.58166666666666,141.38666666666666,3,浜益,ハママス,Hamamasu,14026,北海道
C,11112100,43.39666666666667,141.43666666666667,5,厚田,アツタ,Atsuta,14071,北海道
C,11112100,43.22,141.645,9,新篠津,シンシノツ,Shinshinotsu,14101,北海道
C,11112000,43.14833333333333,141.22166666666666,5,山口,ヤマグチ,Yamaguchi,14116,北海道
C,11112110,43.193333333333335,141.37,5,石狩,イシカリ,Ishikari,14121,北海道
C,11112000,43.11,141.60166666666666,8,江別,エベツ,Ebetsu,14136,北海道
C,01000000,43.083333333333336,141.20166666666665,568,手稲山,テイネヤマ,Mt.Teine,14157,
A,11111111,43.06,141.32833333333335,17,札幌,サッポロ,Sapporo,14163,北海道
C,01000100,42.96333333333333,141.21666666666667,230,小金湯,コガネユ,Koganeyu,14191,
C,11112100,42.92666666666667,141.565,30,恵庭島松,エニワシママツ,Eniwa-Shimamatsu,14206,北海道
C,11112000,42.77166666666667,141.40666666666667,290,支笏湖畔,シコツコハン,Lake-shore Shikotsu,14286,北海道
C,11110100,42.775,141.69166666666666,22,千歳,チトセ：新千歳空港,Chitose,14296,北海道
C,11112100,44.281666666666666,142.16166666666666,255,朱鞠内,シュマリナイ,Shumarinai,15041,北海道
C,11112100,44.01,142.16,159,幌加内,ホロカナイ,Horokanai,15076,北海道
C,11112100,43.815,141.92666666666668,63,石狩沼田,イシカリヌマタ,Ishikari-Numata,15116,北海道
G,11112110,43.78,141.96166666666667,51,秩父別,チップベツ,Chippubetsu,15156,北海道
C,11112100,43.718333333333334,142.07333333333332,55,深川,フカガワ,Fukagawa,15161,北海道
C,01000000,43.66,141.89166666666668,42,雨竜,ウリュウ,Uryu,15197,
C,01000000,43.611666666666665,142.20333333333335,147,新城,シンジョウ,Shinjo,15216,
C,11112000,43.595,141.73166666666665,100,空知吉野,ソラチヨシノ,Sorachi-Yoshino,15231,北海道
C,11112110,43.57,141.93833333333333,50,滝川,タキカワ,Takikawa,15241,北海道
C,01000000,43.553333333333335,142.06666666666666,120,赤平,アカビラ,Akabira,15247,
C,11112100,43.52,142.19,91,芦別,アシベツ,Ashibetsu,15251,北海道
C,01000000,43.428333333333335,141.80833333333334,25,浦臼,ウラウス,Urausu,15276,
C,11112000,43.33,141.61666666666667,50,月形,ツキガタ,Tsukigata,15311,北海道
C,11112100,43.36333333333334,141.82666666666665,16,美唄,ビバイ,Bibai,15321,北海道
B,11111111,43.211666666666666,141.785,42,岩見沢,イワミザワ,Iwamizawa,15356,北海道
C,01000000,43.12166666666667,141.745,20,栗沢,クリサワ,Kurisawa,15391,
C,11112010,43.01166666666666,141.69333333333333,13,長沼,ナガヌマ,Naganuma,15431,北海道
C,11112110,43.038333333333334,141.95666666666668,293,夕張,ユウバリ,Yubari,15442,北海道
C,01000000,43.08,142.1,310,鹿島,カシマ,Kashima,15451,
C,01000000,42.96,142.02,161,沼の沢,ヌマノサワ,Numanosawa,15491,
C,11112000,43.27166666666667,140.56333333333333,75,美国,ビクニ,Bikuni,16026,北海道
C,11112010,43.145,140.42333333333335,50,神恵内,カモエナイ,Kamoenai,16061,北海道
C,11112100,43.181666666666665,140.75833333333333,20,余市,ヨイチ,Yoichi,16076,北海道
B,11111111,43.181666666666665,141.015,25,小樽,オタル,Otaru,16091,北海道
C,01000100,43.083333333333336,140.82,148,赤井川,アカイガワ,Akaigawa,16126,
C,11112100,42.98,140.60333333333332,15,共和,キョウワ,Kyowa,16156,北海道
C,11112100,42.81,140.54166666666666,39,蘭越,ランコシ,Rankoshi,16206,北海道
B,11111111,42.9,140.75666666666666,176,倶知安,クッチャン,Kutchan,16217,北海道
